house_id,beds,baths,living_area,house_type,year_built,heating,cooling,parking,price,price_per_sqft
29331251,5,8,"12,550",Single Family,2003,Forced air,Central,3 spaces,"$5,290,000",$422
17112435,3,2,"1,323",Single Family,1958,"Forced air, Gas","Central, Solar",4 spaces,"Zestimate®: $527,639",
20788262,5,4,"2,789",Multi Family,1920,Gas,None,3 spaces,"$1,995,000",$715
81944512,2,4,"1,840",Condo,2006,Forced air,Central,No Data,"$580,000",$315
449003,2,1,988,Condo,1956,Forced air,Central,1 space,"$440,000",$445
101377273,2,2,"1,330",Condo,2008,Gas,Central,No Data,"$219,900",$165
83813569,5,7,"7,293",Single Family,2015,Forced air,Central,4 spaces,"$3,695,000",$507
15078068,2,2,"1,276",Condo,1987,Baseboard,No Data,1 space,"$1,499,000","$1,175"
82785788,1,1,491,Condo,2007,Forced air,Wall,"On street, Attached Garage","$629,000","$1,281"
110721756,2,2,"1,792",Single Family,1950,"Forced air, Oil",Central,2 spaces,"$275,000",$153
64778753,4,4,"3,704",Single Family,2005,"Forced air, Electric, Gas",Central,3 spaces,"$1,350,000",$364
19600868,2,2,"1,700",Townhouse,1981,"Other, Electric",None,2 spaces,"$1,250,000",$735
15080658,4,6,"6,685",Single Family,1906,No Data,No Data,Attached Garage,"$19,500,000","$2,917"
7514179,4,3,"1,594",Multiple Occupancy,1930,"Wall, Electric",Other,No Data,"$269,000",$169
15077575,2,2,"1,037",Condo,1982,No Data,No Data,No Data,"$929,000",$896
7515266,--,--,"1,430",Multiple Occupancy,1965,"Wall, Electric","Central, Other",No Data,"$199,000",$139
19579447,2,1,"1,040",Single Family,1920,"None, Forced air",Central,1 space,"$1,099,000","$1,057"
20690599,5,4,"2,544",Single Family,1928,"Wall, Electric, Gas",Central,2 spaces,"$999,000",$393
2119576321,4,2,"1,664",Single Family,2000,"Forced air, Heat pump",Central,2 spaces,"$65,000",$39
61618491,2,2,945,Condo,1955,Forced air,"Central, Wall",No Data,"$450,000",$476
110721151,4,1,"1,778",Single Family,1955,"Forced air, Gas",Central,1 space,"$229,900",$129
110711045,3,2,"1,848",Single Family,1949,"Forced air, Gas",Central,2 spaces,"$355,000",$192
89913137,2,3,"1,800",Townhouse,2005,"Forced air, Gas",Central,2 spaces,"$337,900",$188
20795967,2,2,"1,017",Condo,1960,Forced air,Central,1 space,"$799,000",$786
62629095,4,2,"2,307",Single Family,2003,Forced air,Central,2 spaces,"$294,500",$128
63790467,1,1,767,Condo,2005,Forced air,Central,1 space,"$259,999",$339
26994444,3,2,"1,926",Single Family,1965,"Forced air, Gas",Central,2 spaces,"$459,000",$238
26943888,3,2,"1,806",Single Family,1979,Forced air,Central,2 spaces,"$270,000",$150
19608428,3,3,"1,855",Townhouse,1981,"Forced air, Gas",Central,2 spaces,"$1,199,000",$646
104456605,2,2,"1,264",Condo,2007,"Forced air, Heat pump",Central,1 space,"$350,000",$277
20788517,1,1,696,Condo,1962,Other,Wall,No Data,"$495,000",$711
122064192,2,2,"1,179",Condo,1904,Forced air,Central,1 space,"$1,595,000","$1,353"
