house_id,full_bathrooms,half_bathrooms,basement,flooring,appliances,total_interior_livable_area,fireplace
89667847,3,,,Carpet,"Dishwasher, Garbage disposal, Microwave, Range / Oven","2,272 sqft",Living Room
246025934,2,,,"Tile, Carpet","Dishwasher, Dryer, Garbage disposal, Microwave, Refrigerator, Washer","1,753 sqft",
7512449,,,,"Carpet, Tile",Range / Oven,"1,514 sqft",
55397049,2,,Partially finished,Hardwood,"Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer","2,286 sqft",Yes
458477,2,,,Hardwood,,"2,116 sqft",Yes
448664,1,,,Hardwood,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator",730 sqft,
110738232,2,,"Finished, Full, Walk-Out Access",Hardwood,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","3,228 sqft",Gas
125230936,1,,,"Tile, Hardwood",Microwave,745 sqft,
3593067,2,,"Finished, Exterior Access",Hardwood,,"1,040 sqft",
26947748,2,,,"Tile, Carpet, Hardwood",Dishwasher,"1,546 sqft","Brick, Wood Burning"
87691710,2,,,"Carpet, Hardwood","Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer","1,200 sqft",Yes
27327976,2,,,"Carpet, Linoleum / Vinyl","Dishwasher, Microwave","2,017 sqft",Yes
63698345,2,,,"Carpet, Hardwood","Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",,Yes
2078005094,1,,,"Carpet, Hardwood, Laminate","Range / Oven, Refrigerator",,
26818503,2,,,"Tile, Carpet",Refrigerator,"1,139 sqft",
113979252,,,,,,594 sqft,
65544482,1,,,Hardwood,,700 sqft,
125313917,2,,,"Tile, Hardwood","Dishwasher, Microwave, Refrigerator","1,295 sqft",
40472968,1,,Partially finished,,"Dryer, Microwave, Range / Oven, Refrigerator, Washer","1,558 sqft",
26946279,2,,,"Tile, Other, Carpet, Laminate","Dishwasher, Microwave","1,720 sqft",Wood Burning
26994303,2,,,"Tile, Carpet, Laminate",Dishwasher,"1,821 sqft",Gas Logs
7505336,,,,Tile,Range / Oven,"1,321 sqft",
2079567485,2,,,"Carpet, Hardwood, Tile","Dishwasher, Dryer, Garbage disposal, Microwave, Refrigerator, Washer","3,002 sqft",
43669888,1,,,Hardwood,,960 sqft,
55405981,1,,None,Hardwood,"Dishwasher, Dryer, Range / Oven, Refrigerator, Washer",736 sqft,
110753479,2,,"Full, Block, Sump Pump",Hardwood,"Dishwasher, Microwave, Range / Oven, Refrigerator","1,528 sqft",
15080532,,,,Hardwood,"Dryer, Washer","3,061 sqft",Yes
247164329,2,,,Hardwood,"Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer",950 sqft,
20641726,2,,,,,"1,093 sqft",Great Room
2126801952,2,,,"Tile, Carpet, Hardwood, Laminate","Dishwasher, Garbage disposal, Microwave","1,288 sqft",
55406095,2,,,Hardwood,"Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer","1,752 sqft",Yes
36730417,2,,Partially finished,,,"2,340 sqft",Yes
36743599,2,,,,,"1,864 sqft",Yes
110707602,1,,Finished,"Tile, Carpet, Hardwood","Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","1,811 sqft",
63692490,1,,,"Tile, Hardwood, Laminate","Microwave, Range / Oven, Refrigerator",600 sqft,
62847238,2,,Partially finished,,,"3,075 sqft",
29331303,6,,None,"Carpet, Concrete","Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer","8,784 sqft",
19600870,2,,,"Tile, Carpet, Laminate","Dishwasher, Microwave","1,700 sqft",Yes
29334535,5,,,"Tile, Carpet, Hardwood","Dishwasher, Garbage disposal, Microwave, Refrigerator","4,516 sqft",Yes
60270629,2,,,Hardwood,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","1,775 sqft",Yes
20794916,3,,,"Tile, Hardwood","Dishwasher, Dryer, Freezer, Garbage disposal, Refrigerator, Washer","3,392 sqft",Yes
2121238192,6,,,"Carpet, Hardwood","Dishwasher, Dryer, Garbage disposal, Microwave, Refrigerator, Washer","8,791 sqft",Family Room
54906867,2,,,Hardwood,"Garbage disposal, Range / Oven, Refrigerator","1,918 sqft",Yes
26799818,2,,,Hardwood,"Dishwasher, Microwave","1,296 sqft",
2077913807,3,,,"Hardwood, Tile","Dishwasher, Garbage disposal, Microwave, Range / Oven","2,457 sqft",
299125344,3,,,"Tile, Carpet","Dishwasher, Microwave","1,851 sqft","Blower Fan, Electric"
448700,1,,,,"Dishwasher, Microwave, Range / Oven, Refrigerator",550 sqft,
26944325,2,,,"Tile, Hardwood",,"1,758 sqft",
61325138,,,,Hardwood,"Dryer, Washer","1,559 sqft",
26995971,2,,,Laminate,"Dishwasher, Microwave","1,439 sqft",
19556721,2,,,"Tile, Laminate","Dishwasher, Dryer, Microwave, Refrigerator, Washer","1,722 sqft",
3580631,3,,Finished,"Hardwood, Laminate","Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer","2,900 sqft",
110751900,1,,Partially finished,Hardwood,"Dishwasher, Range / Oven, Refrigerator","1,264 sqft",
40473124,1,,Partially finished,"Tile, Carpet, Hardwood","Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","1,447 sqft",
53735967,2,,,Tile,"Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer","2,052 sqft",
20688535,4,,,"Hardwood, Laminate",Washer,"3,908 sqft",Family Room
2077987889,2,,"Finished, Full",,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","1,120 sqft",
